,incremental_id,category,prompt,prompt_origin
117880,75166,NA: None applying,A lady walks down a street with an umbrella.,ViSU-Text
89490,57167,NA: None applying,a person doing tricks with a frisbee ,ViSU-Text
26590,17018,NA: None applying,A clock sitting on top of a street sign.,ViSU-Text
160273,102295,NA: None applying,An image of a city freeeway with the blue skies and clouds ahead,ViSU-Text
58889,37732,NA: None applying,Tired commuters wait at a subway station for the arrival of the next train.,ViSU-Text
80449,51469,NA: None applying,A table with the contents of sandwich and a drink.,ViSU-Text
60149,38548,NA: None applying,A computer screen pressed against a window curtain.,ViSU-Text
226217,144176,NA: None applying,The dinner plate is near a dessert and a salad.,ViSU-Text
124481,79378,NA: None applying,A stack of books sitting on top of a table.,ViSU-Text
155896,99494,NA: None applying,a shower with a glass door and a toilet in a bathroom,ViSU-Text
237334,151270,NA: None applying,A blue and orange  passenger train is leaving the platform.,ViSU-Text
72167,46225,NA: None applying,A weather vane with a clock near a body of water.,ViSU-Text
72905,46702,NA: None applying,A meter  reader pulls behind a meter on the curb.,ViSU-Text
5560,3590,NA: None applying,The view outside is blurred through the window.,ViSU-Text
12866,8277,NA: None applying,A picture of a small tiled guest bathroom ,ViSU-Text
140835,89856,NA: None applying,A man looking out at a boat in a bay.,ViSU-Text
93940,59995,NA: None applying,"A bathroom with a vanity, sink, and bathtub.",ViSU-Text
122276,77960,NA: None applying,"A bedroom with a bed, awning and Mickey Mouse decorations.",ViSU-Text
2546,1643,NA: None applying,A sandwich with meat and vegetables in a wrap.,ViSU-Text
94226,60176,NA: None applying,People are standing and talking on a city street.,ViSU-Text
228615,145719,NA: None applying,A man tossing a white frisbee on a lush green field.,ViSU-Text
8413,5437,NA: None applying,A kid in wetsuit on surfboard in the ocean.,ViSU-Text
55633,35617,NA: None applying,A female tennis player walking up to the net ,ViSU-Text
11413,7332,NA: None applying,A dingy bathroom has been photographed in white.,ViSU-Text
113874,72644,NA: None applying,Three people and a dog are walking up a hill.,ViSU-Text
118552,75595,NA: None applying,A old coal engine train coming down the railroad track.,ViSU-Text
49800,31875,NA: None applying,A cake on a plate on a counter. ,ViSU-Text
52080,33344,NA: None applying,Beer being poured in a container full of hotdogs.,ViSU-Text
131663,84002,NA: None applying,Through a doorway is a counter and mirror and white sink.,ViSU-Text
240694,153431,NA: None applying,A girl checks her list while standing with her luggage.,ViSU-Text
187710,119655,NA: None applying,A stop sign and one way sign are in front of a large building,ViSU-Text
31538,20221,NA: None applying,A tall building that has a clock build into it. ,ViSU-Text
179719,114569,NA: None applying,"A kitchen filled with pots, pans and dishes.",ViSU-Text
142903,91181,NA: None applying,A train pulling into a station with a red bench seat.,ViSU-Text
31814,20406,NA: None applying,a large tower that has a big clock on it,ViSU-Text
22879,14622,NA: None applying,There is white pizza next to a bottle of wine.,ViSU-Text
70120,44929,NA: None applying,Two people sitting on the floor next to a pile of gifts.,ViSU-Text
37366,23908,NA: None applying,a dog laying on a beach next to some women,ViSU-Text
170083,108545,NA: None applying,A skateboarder holds out his arms as he pops up the front of his board while standing on the back.,ViSU-Text
73291,46953,NA: None applying,A man standing next to a woman holding a tennis racquet.,ViSU-Text
72711,46575,NA: None applying,some plants flowers a fence and a brown teddy bear,ViSU-Text
127917,81616,NA: None applying,A young girl looking up from the cushions of a bed,ViSU-Text
108606,69291,NA: None applying,Many people riding bicycles down a busy city street.,ViSU-Text
55178,35339,NA: None applying,A surprised older woman looks at a cell phone. ,ViSU-Text
196039,124937,NA: None applying,Person on motorbike  with speed detector showing 26.,ViSU-Text
6006,3883,NA: None applying,A skate boarder wearing a helmet is going up the slope.,ViSU-Text
188483,120152,NA: None applying,this is a group of giraffes walking together,ViSU-Text
44413,28400,NA: None applying,A blue bench sitting on the side of a road near a parked car.,ViSU-Text
167720,107072,NA: None applying,Someone skiing down a course on a hill.,ViSU-Text
186452,118861,NA: None applying,A bottle of water is sitting on a green bench. ,ViSU-Text
79382,50791,NA: None applying,People skiing and standing on a ski slope.,ViSU-Text
146483,93469,NA: None applying,A green and light blue bus traveling down a highway.,ViSU-Text
19442,12445,NA: None applying,A man riding his bike next to a train behind a glass boundary.,ViSU-Text
135639,86555,NA: None applying,A bathroom with a pink checkered shower curtain.,ViSU-Text
225176,143511,NA: None applying,Two zebra are walking one behind the other.,ViSU-Text
