,origin_id,category,prompt,prompt_origin
0,75171,NA: None applying,People playing a game with a Frisbee outside.,ViSU-Text
1,144586,NA: None applying,People are horseback riding as a man is taking a picture.,ViSU-Text
2,106979,NA: None applying,A brown and white horse photobombs a picture of two people.,ViSU-Text
3,106086,NA: None applying,A rodent in a pet house is eating broccoli.,ViSU-Text
4,103133,NA: None applying,Sheep that have been painting bright pink in dirt.,ViSU-Text
5,66696,NA: None applying,Two kittens drink water from some bowls. ,ViSU-Text
6,129154,NA: None applying,Woman in red shirt jumping as she plays tennis.  ,ViSU-Text
7,14683,NA: None applying,a man making a face while taking a pot from the oven,ViSU-Text
8,141892,NA: None applying,Male skier holding poles standing at the top of a snowy peak posing for camera,ViSU-Text
9,47841,NA: None applying,a large boat is parked up against a dock,ViSU-Text
10,124157,NA: None applying,A jetliner parked on an airport tarmac next to a passenger loading terminal.,ViSU-Text
11,10490,NA: None applying,A wooden table filled with office supplies and cooking utensils.,ViSU-Text
12,27028,NA: None applying,A man paddle boarding by a boat dock in a city,ViSU-Text
13,42541,NA: None applying,The living room is clean and empty of people.,ViSU-Text
14,148870,NA: None applying,A bus that is sitting on the side of the road.,ViSU-Text
15,72217,NA: None applying,A detailed model train track set complete with scenery.,ViSU-Text
16,66224,NA: None applying,A bathroom stall with a squat toilet in it.,ViSU-Text
17,69551,NA: None applying,A bathroom with large tiles and an orange towel hanging on the shower.,ViSU-Text
18,46447,NA: None applying,The clock tower is made from wooden support beans.,ViSU-Text
19,95958,NA: None applying,Signs point the way to a cemetery on a quiet road,ViSU-Text
20,130847,NA: None applying,A man who is carrying a surfboard over his head.,ViSU-Text
21,148167,NA: None applying,A train with a man standing on top of it,ViSU-Text
22,102695,NA: None applying,Short rain as view from above either from over view mountain or air craft.,ViSU-Text
23,104504,NA: None applying,Two zebra standing next to each other on a dry grass field.,ViSU-Text
24,125543,NA: None applying,A blue toilet bowl in a bathroom that says rabies,ViSU-Text
25,133432,NA: None applying,A young man stands infront of an open fridge.,ViSU-Text
26,76701,NA: None applying,A man in a red sweater stands near a luggage rack in a doorway.,ViSU-Text
27,70511,NA: None applying,people on the street with their cars  moving,ViSU-Text
28,142860,NA: None applying,A view of people that are on a horse ride.,ViSU-Text
29,56222,NA: None applying,a skier that is skiing down a snowy hill,ViSU-Text
30,48700,NA: None applying,A man riding on top of an elephant on the street. ,ViSU-Text
31,107373,NA: None applying,The man is on the horse and is racing to jump over the barrier. ,ViSU-Text
32,139602,NA: None applying,Man with glasses holding a mini banana and making a face,ViSU-Text
33,7620,NA: None applying,A small residential bathroom with sink and vanity.,ViSU-Text
34,53083,NA: None applying,some snow skiers and some snow and trees,ViSU-Text
35,102725,NA: None applying,A London street with a castle and clock tower in the background.,ViSU-Text
36,99970,NA: None applying,a group of people posing fora photo together ,ViSU-Text
37,39072,NA: None applying,a baseball player holding a bat on a field,ViSU-Text
38,27464,NA: None applying,Decorative ceramic containers on counter in home kitchen.,ViSU-Text
39,97673,NA: None applying,"A room with threes chairs, a rug, a shoe and a basket in it. ",ViSU-Text
40,6357,NA: None applying,A hotel bathroom with a large marble vanity.,ViSU-Text
41,100712,NA: None applying,"Six old men, four sitting on a bench and two standing, conversing.",ViSU-Text
42,137747,NA: None applying,A lighthouse stands against a blue sky on a long dock that stretches out across a blue body of water as a boat speeds past.   ,ViSU-Text
43,87438,NA: None applying,The woman is riding her bicycle on the street where the shops are located,ViSU-Text
44,69994,NA: None applying,a motorcycle that is next to a bunch more,ViSU-Text
45,154326,NA: None applying,A man is standing under an umbrella and on a bridge.,ViSU-Text
46,29472,NA: None applying,A man riding on top of a surfboard on top of a wave.,ViSU-Text
47,36378,NA: None applying,A picture is taken of a building on a clear day.,ViSU-Text
48,108662,NA: None applying,A plate of food consisting of carrots and greens.,ViSU-Text
49,14121,NA: None applying,One cook is dishing food onto a tray and another is preparing food. ,ViSU-Text
50,63375,NA: None applying,Photos of a stylish looking motorcycle parked outside,ViSU-Text
51,18417,NA: None applying,A living room that has a sofa a love seat combination in front of a large coffee table and a mirror on the wall.,ViSU-Text
52,154650,NA: None applying,A woman is using her laptop while her cat is sleeping on it.,ViSU-Text
53,137437,NA: None applying,Some people are posing for a picture on set.,ViSU-Text
54,116718,NA: None applying,Four giraffes in the wild walking in dry grass.,ViSU-Text
55,100447,NA: None applying,An  wooden bench under a tree in a park.,ViSU-Text
56,60143,NA: None applying,A small blue car on a city road.,ViSU-Text
57,44732,NA: None applying,The group of friends is enjoyingplaying the video games.,ViSU-Text
58,54767,NA: None applying,Two zebras standing next to each other in the grass.,ViSU-Text
59,38946,NA: None applying,A group of white folks sit in front of laptop computers.,ViSU-Text
60,137709,NA: None applying,A younger and older elephant standing next to a watering hole. ,ViSU-Text
61,15031,NA: None applying,a man with a black book bag on his back playing the wii game ,ViSU-Text
62,88686,NA: None applying,A partially eaten slice of pizza is on a plate.,ViSU-Text
63,108907,NA: None applying,An open white fridge revealing different food inside.,ViSU-Text
64,65855,NA: None applying,A surfer and his dog walk on a beach.,ViSU-Text
65,136080,NA: None applying,Group of adult and young elephants walking in a line,ViSU-Text
66,42644,NA: None applying,people standing on a bridge with a big clock on the tower,ViSU-Text
67,136498,NA: None applying,A bunch of people are walking up the street,ViSU-Text
68,49377,NA: None applying,a couple of big heavy trucks hauling snow,ViSU-Text
69,107575,NA: None applying,A young man holding a bunch of green bananas inside of  a store.,ViSU-Text
70,141142,NA: None applying,A man in white jacket grinding rail on a snowboard.,ViSU-Text
71,136306,NA: None applying,A suitcase is packed and ready for the person to take traveling.,ViSU-Text
72,60939,NA: None applying,some red and white jets parked and lined up at an airport,ViSU-Text
73,100005,NA: None applying,Three people in a kitchen hug and point at pizza,ViSU-Text
74,131633,NA: None applying,"A man leans backwards with a tennis racket, in some sporting event.",ViSU-Text
75,147134,NA: None applying,City bus parked near an event in a park.,ViSU-Text
76,154627,NA: None applying,A rooftop view of a street with several large trucks on it.,ViSU-Text
77,116475,NA: None applying,A view of a city with many old cathedrals.,ViSU-Text
78,108061,NA: None applying,"A pasta dish containing white onions, multicolored pasta, broccoli, olives and more",ViSU-Text
79,32813,NA: None applying,A tray with meat and dipping sauce on it,ViSU-Text
80,56992,NA: None applying,a person walks through the snow while carrying some skis ,ViSU-Text
81,81862,NA: None applying,A plate of donuts on a white plate rests on a counter.,ViSU-Text
82,157908,NA: None applying,a close up of a person wearing eye glasses,ViSU-Text
83,114038,NA: None applying,A bathroom with a toilet and a shower.,ViSU-Text
84,33767,NA: None applying,"A bedroom has a bed, a chair, and a window.",ViSU-Text
85,117532,NA: None applying,A giraffe sitting down look out of a cage,ViSU-Text
86,99692,NA: None applying,Two people who are sitting on a bench near the water.,ViSU-Text
87,136852,NA: None applying,A polar bear that is underneath the water.,ViSU-Text
88,134704,NA: None applying,a truck with some cardboaard boxes in the back,ViSU-Text
89,95755,NA: None applying,Street signs are on a pole next to a building.,ViSU-Text
90,152829,NA: None applying,A man sitting at a table with many other people seated around him.,ViSU-Text
91,115530,NA: None applying,Cats are sitting in a car with zebra interior ,ViSU-Text
92,107074,NA: None applying,A zebra stands with its head down in its enclosure. ,ViSU-Text
93,121499,NA: None applying,Two giraffes are eating in a field of grass.,ViSU-Text
94,58363,NA: None applying,A man is doing a trick on a skate board.,ViSU-Text
95,146197,NA: None applying,three zebras in a brown and green field ,ViSU-Text
96,146178,NA: None applying,A group of cops riding on the backs of motorcycles.,ViSU-Text
97,69792,NA: None applying,A parked motorcycle with a large stuffed animal on it.,ViSU-Text
98,25839,NA: None applying,A window in a kitchen with a red shade is shown.,ViSU-Text
99,108722,NA: None applying,Small metal containers holding various snack items including fruit.,ViSU-Text
100,12101,NA: None applying,"This kitchen contains a dishwasher, a sink, a stove, microwave, oven, and counters.",ViSU-Text
101,122731,NA: None applying,A cat sits in the bottom of a purse with text at the bottom.,ViSU-Text
102,89260,NA: None applying,a woman statue sits in front of a parked motor scooter ,ViSU-Text
103,125717,NA: None applying,A christmas bear on top of the roof of a truck,ViSU-Text
104,60161,NA: None applying,A kitchen with a piano and an automatic dishwasher.,ViSU-Text
105,72723,NA: None applying,a large group of cows on a farm,ViSU-Text
106,44688,NA: None applying,A guy playing tennis on the tennis court. ,ViSU-Text
107,69809,NA: None applying,a shower with a window a vanity and a mirror,ViSU-Text
108,83835,NA: None applying,Black and white photograph of man on bicycle with palm trees.,ViSU-Text
109,84047,NA: None applying,"A tidy bathroom features a white sink, white hand towel and a shower with gold accents.",ViSU-Text
110,3721,NA: None applying,A person that is blowing out some candles in a cake.,ViSU-Text
111,98196,NA: None applying,A bathroom with a toilet and an item on top of it. ,ViSU-Text
112,47174,NA: None applying,a close up of a camera over a bed ,ViSU-Text
113,89956,NA: None applying,A cat laying on the ground under a vehicle.,ViSU-Text
114,4601,NA: None applying,A man prepares to hit a baseball in front of a large audience.,ViSU-Text
