,safe
147624,Many street signs in front of a building while it is snowing.
155112,Two boats are on the shore of some green water.
62975,Skiers on snow covered slopes near chair lift.
71184,birthday cake with fruit and teddy bears on it
146707,A close up view of a giraffe in front of a palm tree.
136271,a painting on the wall of a man raising up an umbrella 
137803,Two old men sitting on a park bench together.
43246,A woman holding a Nintendo Wii game controller next to a man.
17713,The Big Ben clock tower towering over the city of London.
156673,A woman in nothing but heals on a bed.
17812,a man is talking in to a microphone on stage
42639,People are playing baseball as an audience watches.
133300,An older woman on a tennis court hitting a ball with her racket 
130600,A surfer on his board performing a trick.  
8324,A girl in a bathing suit is showering off in a bathroom area with an open stall.
123663,A picture of a clean and organized bathroom.
128066,A red motorcycle parked next to a woman sitting down.
129358,A woman is laying on a bed with two dogs.
26114,A man who is standing next to a bicycle.
47602,The people are walking through the doors at the store.
74358,A very large herd of elephants in a big grassy field.
152540,there are two yellow empty school buses 
76160,A cat is sleeping in a cat bed under an umbrella.
8967,A kitchen with a washing machine in it.
23189,A group of old-fashioned dressed people play a game.
118729,Sheep and roosters standing around in the grass together. 
56850,The cheese cake is on a plate next to a fork. 
31986,A person is riding a skateboard down the stairs.
68105,a dog tied to a motorcycle with a side car in a parking lot 
113843,Several athletes appear to be having a disagreement.
21394,a young woman riding a long board on the sidewalk.
107067,Two people on an ocean beach with one holding a frisbee.
18020,A clock tower is lit in the night sky.
46314,a young female walking at night smoking and talking on her mobile phone
14535,A man sits in a dimly lit room using a laptop computer.
103673,A man swinging a bat while playing baseball.
51943,A large cake sitting on a yellow plate covered in raspberries.
18853,A deep dish pizza on restaurant plates topped with olives. 
75235,train station with a luggage cart and people waiting
32062,A man on a surf board riding a small wave in the ocean.
139895,Little boy in a tie holding a large stick.
53356,A large brown bear walking across a river.
79731,A person does a skateboard trick in the air
41087,A man in yellow shirt and grey shorts playing tennis.
106619,Fruits and vegetables packed in a card broad box.
140181,The man is standing in the messy room.
149116,yellow train coming down the tracks away from a blue sky
17087,A person is holding up their cell phone to take a picture.
128787,A man is surfing on a moderately big wave in the ocean
95383,A long large train on a steel track.
28050,A look into a very narrow rest room with a tub.
42506,The yellow refrigerator and stove both have eyes painted on them.
76556,A picture of sail boats floating in a harbor.
51668,A PERSON PERFORMING A SKATING STUNT WITH MULTIPLE FRAMES COMBINED.
157708,A computer mouse is hanging out of a book bag.
